,sofifa_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm
0,158023,L. Messi,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,93,78000000.0,320000.0,34,170
1,188545,R. Lewandowski,Robert Lewandowski,ST,92,92,119500000.0,270000.0,32,185
2,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",91,91,45000000.0,270000.0,36,187
3,190871,Neymar Jr,Neymar da Silva Santos Júnior,"LW, CAM",91,91,129000000.0,270000.0,29,175
4,192985,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,125500000.0,350000.0,30,181
5,200389,J. Oblak,Jan Oblak,GK,91,93,112000000.0,130000.0,28,188
6,231747,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,194000000.0,230000.0,22,182
7,167495,M. Neuer,Manuel Peter Neuer,GK,90,90,13500000.0,86000.0,35,193
8,192448,M. ter Stegen,Marc-André ter Stegen,GK,90,92,99000000.0,250000.0,29,187
9,202126,H. Kane,Harry Kane,ST,90,90,129500000.0,240000.0,27,188
10,215914,N. Kanté,N'Golo Kanté,"CDM, CM",90,90,100000000.0,230000.0,30,168
11,165153,K. Benzema,Karim Benzema,"CF, ST",89,89,66000000.0,350000.0,33,185
12,192119,T. Courtois,Thibaut Courtois,GK,89,91,85500000.0,250000.0,29,199
13,200104,H. Son,손흥민 孙兴慜,"LM, CF, LW",89,89,104000000.0,220000.0,28,183
14,200145,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,88000000.0,310000.0,29,185
15,203376,V. van Dijk,Virgil van Dijk,CB,89,89,86000000.0,230000.0,29,193
16,208722,S. Mané,Sadio Mané,LW,89,89,101000000.0,270000.0,29,175
17,209331,M. Salah,Mohamed Salah Ghaly,RW,89,89,101000000.0,270000.0,29,175
18,210257,Ederson,Ederson Santana de Moraes,GK,89,91,94000000.0,200000.0,27,188
19,212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",89,90,108000000.0,160000.0,26,177
20,212831,Alisson,Alisson Ramsés Becker,GK,89,90,82000000.0,190000.0,28,191
21,230621,G. Donnarumma,Gianluigi Donnarumma,GK,89,93,119500000.0,110000.0,22,196
22,155862,Sergio Ramos,Sergio Ramos García,CB,88,88,24000000.0,115000.0,35,184
23,176580,L. Suárez,Luis Alberto Suárez Díaz,ST,88,88,44500000.0,135000.0,34,182
24,182521,T. Kroos,Toni Kroos,CM,88,88,75000000.0,310000.0,31,183
