sofifa_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,height_cm
158023,L. Messi,Lionel Andrés Messi Cuccittini,"RW, ST, CF",93,93,78000000.0,320000.0,34,170
188545,R. Lewandowski,Robert Lewandowski,ST,92,92,119500000.0,270000.0,32,185
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",91,91,45000000.0,270000.0,36,187
190871,Neymar Jr,Neymar da Silva Santos Júnior,"LW, CAM",91,91,129000000.0,270000.0,29,175
192985,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,125500000.0,350000.0,30,181
200389,J. Oblak,Jan Oblak,GK,91,93,112000000.0,130000.0,28,188
231747,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,194000000.0,230000.0,22,182
167495,M. Neuer,Manuel Peter Neuer,GK,90,90,13500000.0,86000.0,35,193
192448,M. ter Stegen,Marc-André ter Stegen,GK,90,92,99000000.0,250000.0,29,187
202126,H. Kane,Harry Kane,ST,90,90,129500000.0,240000.0,27,188
215914,N. Kanté,N'Golo Kanté,"CDM, CM",90,90,100000000.0,230000.0,30,168
165153,K. Benzema,Karim Benzema,"CF, ST",89,89,66000000.0,350000.0,33,185
192119,T. Courtois,Thibaut Courtois,GK,89,91,85500000.0,250000.0,29,199
200104,H. Son,손흥민 孙兴慜,"LM, CF, LW",89,89,104000000.0,220000.0,28,183
200145,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,88000000.0,310000.0,29,185
203376,V. van Dijk,Virgil van Dijk,CB,89,89,86000000.0,230000.0,29,193
208722,S. Mané,Sadio Mané,LW,89,89,101000000.0,270000.0,29,175
209331,M. Salah,Mohamed Salah Ghaly,RW,89,89,101000000.0,270000.0,29,175
210257,Ederson,Ederson Santana de Moraes,GK,89,91,94000000.0,200000.0,27,188
212622,J. Kimmich,Joshua Walter Kimmich,"CDM, RB",89,90,108000000.0,160000.0,26,177
212831,Alisson,Alisson Ramsés Becker,GK,89,90,82000000.0,190000.0,28,191
230621,G. Donnarumma,Gianluigi Donnarumma,GK,89,93,119500000.0,110000.0,22,196
155862,Sergio Ramos,Sergio Ramos García,CB,88,88,24000000.0,115000.0,35,184
176580,L. Suárez,Luis Alberto Suárez Díaz,ST,88,88,44500000.0,135000.0,34,182
182521,T. Kroos,Toni Kroos,CM,88,88,75000000.0,310000.0,31,183
192505,R. Lukaku,Romelu Lukaku Menama,ST,88,88,93500000.0,260000.0,28,191
193041,K. Navas,Keylor Navas Gamboa,GK,88,88,15500000.0,130000.0,34,185
202652,R. Sterling,Raheem Sterling,"LW, RW",88,89,107500000.0,290000.0,26,170
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,CAM,88,89,107500000.0,250000.0,26,179
239085,E. Haaland,Erling Braut Haaland,ST,88,93,137500000.0,110000.0,20,194
153079,S. Agüero,Sergio Leonel Agüero del Castillo,ST,87,87,51000000.0,260000.0,33,173
167948,H. Lloris,Hugo Lloris,GK,87,87,13500000.0,125000.0,34,188
177003,L. Modrić,Luka Modrić,CM,87,87,32000000.0,190000.0,35,172
183898,Á. Di María,Ángel Fabián Di María Hernández,"RW, LW",87,87,49500000.0,160000.0,33,180
186153,W. Szczęsny,Wojciech Tomasz Szczęsny,GK,87,87,42000000.0,105000.0,31,195
189596,T. Müller,Thomas Müller,"CAM, RM, RW",87,87,66000000.0,140000.0,31,185
192387,C. Immobile,Ciro Immobile,ST,87,87,67500000.0,125000.0,31,185
195864,P. Pogba,Paul Pogba,"CM, LM",87,87,79500000.0,220000.0,28,191
199556,M. Verratti,Marco Verratti,"CM, CAM",87,87,79500000.0,155000.0,28,165
207865,Marquinhos,Marcos Aoás Corrêa,"CB, CDM",87,90,90500000.0,135000.0,27,183
209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM",87,88,93000000.0,140000.0,26,189
211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",87,88,93000000.0,160000.0,27,177
216267,A. Robertson,Andrew Robertson,LB,87,88,83500000.0,175000.0,27,178
228702,F. de Jong,Frenkie de Jong,"CM, CDM, CB",87,92,119500000.0,210000.0,24,180
231281,T. Alexander-Arnold,Trent Alexander-Arnold,RB,87,92,114000000.0,150000.0,22,180
